user_id,site_visits,time_on_site,email_opened,purchased
U001,5,12.5,1,1
U002,2,3.2,0,0
U003,8,22.1,1,1
U004,1,1.5,0,0
U005,4,9.8,1,0
U006,7,18.0,1,1
U007,3,5.5,0,0
U008,6,15.2,1,1
U009,2,4.0,0,0
U010,5,11.0,0,0
U011,9,25.5,1,1
U012,1,2.0,0,0
U013,4,10.2,1,1
U014,3,6.8,0,0
U015,7,19.5,1,1
U016,2,3.8,0,0
U017,6,14.5,1,1
U018,5,13.0,0,1
U019,1,1.2,0,0
U020,8,21.0,1,1
U021,4,8.5,0,0
U022,3,7.2,1,0
U023,7,17.5,1,1
U024,2,4.5,0,0
U025,9,24.0,1,1
U026,5,12.0,1,1
U027,1,1.8,0,0
U028,6,16.0,1,1
U029,3,5.0,0,0
U030,8,20.5,1,1
U031,4,9.2,0,0
U032,2,3.5,1,0
U033,7,18.8,1,1
U034,1,1.0,0,0
U035,5,11.5,1,1
U036,6,15.8,1,1
U037,3,6.5,0,0
U038,9,26.0,1,1
U039,2,4.2,0,0
U040,8,23.0,1,1
U041,4,10.5,1,0
U042,1,2.5,0,0
U043,7,17.0,1,1
U044,5,13.5,0,1
U045,3,7.5,0,0
U046,6,14.8,1,1
U047,2,3.0,0,0
U048,9,27.5,1,1
U049,4,8.0,0,0
U050,8,22.5,1,1
U051,5,12.2,1,1
U052,1,1.6,0,0
U053,7,19.0,1,1
U054,3,5.8,1,0
U055,6,15.5,1,1
U056,2,4.8,0,0
U057,8,21.5,1,1
U058,4,9.5,0,0
U059,9,25.0,1,1
U060,5,11.8,1,1
U061,1,2.2,0,0
U062,7,18.2,1,1
U063,3,6.2,0,0
U064,6,16.5,1,1
U065,2,3.6,0,0
U066,8,20.0,1,1
U067,4,10.0,1,1
U068,1,1.4,0,0
U069,9,26.5,1,1
U070,5,13.2,0,1
U071,3,7.0,1,0
U072,7,17.8,1,1
U073,2,4.1,0,0
U074,6,14.2,1,1
U075,8,23.5,1,1
U076,4,8.8,0,0
U077,1,2.1,0,0
U078,5,12.8,1,1
U079,9,28.0,1,1
U080,3,5.2,0,0
U081,7,19.2,1,1
U082,2,3.4,0,0
U083,6,15.0,1,1
U084,8,22.8,1,1
U085,4,9.9,1,0
U086,1,1.9,0,0
U087,5,11.2,0,0
U088,9,24.5,1,1
U089,3,6.0,0,0
U090,7,18.5,1,1
U091,2,4.6,1,0
U092,6,16.2,1,1
U093,8,20.8,1,1
U094,4,10.8,1,1
U095,1,2.8,0,0
U096,5,13.8,1,1
U097,3,7.8,0,0
U098,9,27.0,1,1
U099,2,3.9,0,0
U100,7,17.2,1,1
