user_id,age,site_visits,time_on_site_min,pages_viewed,email_opened,purchased
U001,31,4,13.2,7,0,0
U002,45,12,24.5,15,1,1
U003,22,2,4.5,3,0,0
U004,50,7,12.1,8,0,0
U005,38,10,22.0,12,1,1
U006,28,3,8.4,5,1,0
U007,42,14,31.2,18,1,1
U008,35,5,10.5,6,0,0
U009,55,1,2.1,2,0,0
U010,29,9,19.8,11,1,1
U011,33,4,9.2,6,0,0
U012,48,11,28.4,16,1,1
U013,25,2,5.5,4,0,0
U014,39,8,15.6,9,1,0
U015,41,13,27.1,14,1,1
U016,30,3,7.2,4,0,0
U017,52,6,11.8,7,1,0
U018,27,10,21.5,13,1,1
U019,44,4,8.8,5,0,0
U020,36,12,26.5,15,1,1
U021,31,2,4.2,3,0,0
U022,46,8,16.4,10,1,0
U023,24,15,33.0,19,1,1
U024,53,3,6.8,4,0,0
U025,37,9,20.2,12,1,1
U026,29,5,11.5,7,0,0
U027,49,11,25.8,14,1,1
U028,34,4,9.5,6,1,0
U029,43,14,30.5,17,1,1
U030,26,2,3.8,2,0,0
U031,51,7,14.2,8,0,0
U032,38,10,23.1,13,1,1
U033,32,3,7.5,5,0,0
U034,47,12,29.0,16,1,1
U035,28,5,10.8,6,1,0
U036,40,9,18.5,11,0,0
U037,35,13,28.2,15,1,1
U038,54,4,8.2,5,0,0
U039,30,11,24.5,14,1,1
U040,45,2,5.1,3,1,0
U041,27,8,17.2,10,0,0
U042,39,15,34.5,20,1,1
U043,33,3,6.5,4,0,0
U044,42,10,21.8,12,1,1
U045,25,5,12.0,7,0,0
U046,50,14,32.4,18,1,1
U047,36,4,9.8,6,1,0
U048,48,9,19.2,11,0,0
U049,31,12,27.5,15,1,1
U050,44,2,4.8,3,0,0
U051,29,7,15.5,9,1,0
U052,52,11,26.2,14,1,1
U053,37,3,8.1,5,0,0
U054,41,13,29.8,17,1,1
U055,34,5,11.2,6,1,0
U056,46,8,16.8,10,0,0
U057,28,10,22.5,13,1,1
U058,55,4,9.0,5,0,0
U059,32,15,35.2,21,1,1
U060,43,2,5.4,4,0,0
U061,35,9,18.8,11,1,1
U062,26,6,13.5,8,0,0
U063,49,12,28.5,16,1,1
U064,30,3,7.8,5,1,0
U065,39,11,25.4,14,1,1
U066,47,4,10.2,6,0,0
U067,24,14,31.8,18,1,1
U068,51,5,12.5,7,1,0
U069,38,8,17.6,10,0,0
U070,33,13,29.5,16,1,1
U071,45,2,4.5,3,0,0
U072,27,10,23.8,13,1,1
U073,53,6,14.2,8,0,0
U074,31,15,36.5,22,1,1
U075,42,3,8.5,5,1,0
U076,36,9,20.8,12,1,1
U077,48,4,11.5,6,0,0
U078,29,12,27.8,15,1,1
U079,40,5,13.2,7,1,0
U080,34,11,26.5,14,1,1
U081,54,2,5.8,4,0,0
U082,25,8,18.2,10,0,0
U083,44,14,33.5,19,1,1
U084,37,7,15.8,9,1,0
U085,50,10,24.2,13,1,1
U086,32,3,9.2,5,0,0
U087,46,13,30.2,17,1,1
U088,28,4,12.8,7,1,0
U089,41,9,21.5,12,0,0
U090,52,15,37.2,23,1,1
U091,35,5,14.5,8,0,0
U092,30,11,28.8,16,1,1
U093,49,2,6.5,4,1,0
U094,39,12,29.2,17,1,1
U095,26,6,15.2,9,0,0
U096,43,14,34.8,20,1,1
U097,33,3,10.5,6,1,0
U098,47,10,25.5,14,1,1
U099,24,8,19.5,11,0,0
U100,55,13,31.5,18,1,1
